def(TFTPOMATIC_SUPPORT),def(BOOTLOADER_SUPPORT)
!def(UIP_ARCH_IPCHKSUM),True
def(DNS_SUPPORT),def(ECMD_SUPPORT)
def(I2C_SLAVE_SUPPORT),def(ECMD_SUPPORT)
def(DNS_SUPPORT),True
(def(MODBUS_CLIENT_SUPPORT)&def(MODBUS_SUPPORT)),def(MODBUS_SUPPORT)
True,def(PS2_SUPPORT)
True,def(DYNDNS_SUPPORT)
def(DNS_SUPPORT),def(MDNS_SD_SUPPORT)
def(ZBUS_RAW_SUPPORT),(def(SKIPJACK_SUPPORT)&!def(ZBUS_RAW_SUPPORT))
def(I2C_SLAVE_SUPPORT),True
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)&def(ECMD_PARSER_SUPPORT)),def(PS2_SUPPORT)
def(VFS_EEPROM_RAW_SUPPORT),def(I2C_24CXX_SUPPORT)
def(I2C_MASTER_SUPPORT),def(I2C_24CXX_SUPPORT)
def(SENSOR_RFM12_SUPPORT),def(HD44780_SUPPORT)
(def(MCUF_SUPPORT)&!def(MCUF_SERIAL_SUPPORT)&def(BLP_SUPPORT)),def(MCUF_SUPPORT)
def(VFS_SD_SUPPORT),True
True,(def(MCUF_SUPPORT)&!def(MCUF_SERIAL_SUPPORT)&def(MCUF_SCROLLTEXT_SUPPORT))
def(MCUF_CLOCK_SUPPORT),True
def(YPORT_SUPPORT),True
(def(ECMD_USB_SUPPORT)&def(USB_SUPPORT)),def(ECMD_USB_SUPPORT)
def(STELLA_SUPPORT),True
(def(MCUF_SUPPORT)&!def(MCUF_SERIAL_SUPPORT)&def(MCUF_CLOCK_SUPPORT)),def(MCUF_SUPPORT)
(def(RFM12_RAW_SUPPORT)&def(SKIPJACK_SUPPORT)),True
(!def(BOOTP_SUPPORT)&def(DNS_SUPPORT)),def(DNS_SUPPORT)
def(I2C_24CXX_SUPPORT),def(PS2_SUPPORT)
(def(MCUF_SUPPORT)&!def(MCUF_SERIAL_SUPPORT)&def(MCUF_SCROLLTEXT_SUPPORT)),True
def(DNS_SUPPORT),def(DYNDNS_SUPPORT)
def(MDNS_SD_SUPPORT),def(PS2_SUPPORT)
True,def(ECMD_SUPPORT)
def(RFM12_ASK_SENSING_SUPPORT),True
def(AUTH_SUPPORT),True
def(I2C_24CXX_SUPPORT),def(I2C_MASTER_SUPPORT)
(!def(RFM12_RAW_SUPPORT)&def(SKIPJACK_SUPPORT)),True
def(BOOTP_SUPPORT),True
(def(MCUF_SUPPORT)&!def(MCUF_SERIAL_SUPPORT)&def(MCUF_CLOCK_SUPPORT)&def(MCUF_SCROLLTEXT_SUPPORT)),True
!def(HD44780_SUPPORT),def(HD44780_SUPPORT)
def(ECMD_USB_SUPPORT),def(PS2_SUPPORT)
def(DEBUG_ENC28J60),True
True,def(ECMD_SERIAL_I2C_SUPPORT)
