!def(HAVE_IPTC_HANDLE_T),!def(HAVE_IP6TC_HANDLE_T)
!def(HAVE_LIBKSTAT),True
def(HAVE_IPTC_HANDLE_T),!def(HAVE_IP6TC_HANDLE_T)
def(HAVE_SETENV),True
def(HAVE_IPTC_HANDLE_T),def(HAVE_IP6TC_HANDLE_T)
!def(HAVE_IP6TC_HANDLE_T),True
!def(HAVE_SETENV),True
def(ASN_NULL),True
!def(HAVE_IPTC_HANDLE_T),True
!def(ASN_NULL),True
!def(HAVE_IPTC_HANDLE_T),def(HAVE_IP6TC_HANDLE_T)
!def(HAVE_IP6TC_HANDLE_T),def(HAVE_IP6TC_HANDLE_T)
True,(!def(HAVE_LIBKSTAT)&!def(HAVE_HTONLL))
def(HAVE_IP6TC_HANDLE_T),True
def(HAVE_LIBRRD),True
True,!def(HAVE_SETENV)
def(HAVE_IPTC_HANDLE_T),True
def(DEBUG),True
True,def(KERNEL_LINUX)
True,!def(HAVE_LIBKSTAT)
(!def(HAVE_LIBKSTAT)&def(HAVE_LIBRRD)),True
def(HAVE_IP6TC_HANDLE_T),!def(HAVE_IP6TC_HANDLE_T)
def(KERNEL_LINUX),True
!def(HAVE_LIBRRD),True
def(HAVE_LIBRRD),(!def(HAVE_LIBKSTAT)&def(HAVE_LIBRRD))
