!def(BACKWARDS_COMPATIBLE),!def(EAM_OBJECTS)
def(USE_STATS),(!def(NO_GIH)&!def(CHECK_HEAP_USE))
!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
def(BACKWARDS_COMPATIBLE),(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE))
(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE)),True
(!def(CHECK_HEAP_USE)&def(NO_GIH)&(def(NO_GIH)|def(CHECK_HEAP_USE))),!def(CHECK_HEAP_USE)
!def(EXTENDED_COLOR_SPECS),(!def(HAVE_BCOPY)&!def(HAVE_MEMCPY))
def(BACKWARDS_COMPATIBLE),!def(EAM_OBJECTS)
!def(EXTENDED_COLOR_SPECS),True
def(HAVE_LOCALE_H),True
True,!def(EAM_OBJECTS)
True,!def(CHECK_HEAP_USE)
True,(!def(HAVE_INDEX)&!def(HAVE_STRCHR))
!def(USE_SYSTEM_TIME),def(CHECK_HEAP_USE)
def(GNUPLOT_HISTORY),True
def(CHECK_HEAP_USE),True
!def(EAM_OBJECTS),(!def(NO_GIH)&!def(CHECK_HEAP_USE))
def(__PUREC__),def(USE_STATS)
!def(GPLT_X11_MODE),True
!def(BACKWARDS_COMPATIBLE),True
(!def(HAVE_INDEX)&!def(HAVE_STRCHR)),True
def(USE_SYSTEM_TIME),True
!def(CHECK_HEAP_USE),True
def(EXTENDED_COLOR_SPECS),(!def(HAVE_BCOPY)&!def(HAVE_MEMCPY))
True,!def(HAVE_STRSTR)
!def(VOLATILE_REFRESH),True
True,!def(VOLATILE_REFRESH)
(!def(BACKWARDS_COMPATIBLE)&def(USE_MOUSE)),def(USE_MOUSE)
True,def(USE_STATS)
!def(HAVE_LOCALE_H),True
def(USE_STATS),True
def(USE_MOUSE),True
def(HAVE_LOCALE_H),!def(HAVE_STRSTR)
(!def(CHECK_HEAP_USE)&def(NO_GIH)&(def(NO_GIH)|def(CHECK_HEAP_USE))),True
True,(!def(NO_GIH)&!def(CHECK_HEAP_USE))
True,def(BACKWARDS_COMPATIBLE)
def(EAM_OBJECTS),True
(!def(CHECK_HEAP_USE)&def(NO_GIH)&(def(NO_GIH)|def(CHECK_HEAP_USE))),def(CHECK_HEAP_USE)
def(EXTENDED_COLOR_SPECS),True
!def(NO_CROSSREFS),(!def(HAVE_INDEX)&!def(HAVE_STRCHR))
!def(BACKWARDS_COMPATIBLE),(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE))
True,!def(BITMAPDEBUG)
(!def(HAVE_BCOPY)&!def(HAVE_MEMCPY)),True
def(TEST_STRFTIME),True
True,def(HAVE_LOCALE_H)
!def(CHECK_HEAP_USE),(!def(NO_GIH)&!def(CHECK_HEAP_USE))
(!def(BACKWARDS_COMPATIBLE)&def(GP_MACROS)),def(GP_MACROS)
True,def(EXTENDED_COLOR_SPECS)
def(TEST_TIME),!def(USE_SYSTEM_TIME)
def(CHECK_HEAP_USE),(!def(NO_GIH)&!def(CHECK_HEAP_USE))
!def(HAVE_STRSTR),True
def(__PUREC__),True
(def(BACKWARDS_COMPATIBLE)&def(USE_MOUSE)),def(USE_MOUSE)
!def(USE_SYSTEM_TIME),def(USE_STATS)
def(BACKWARDS_COMPATIBLE),True
!def(GNUPLOT_HISTORY),True
(!def(BACKWARDS_COMPATIBLE)&def(GNUPLOT_HISTORY)),def(GNUPLOT_HISTORY)
(def(BACKWARDS_COMPATIBLE)&def(EAM_OBJECTS)),def(EAM_OBJECTS)
!def(HAVE_GD_PNG),True
!def(BACKWARDS_COMPATIBLE),def(BACKWARDS_COMPATIBLE)
True,(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE))
!def(EAM_OBJECTS),True
(def(BACKWARDS_COMPATIBLE)&def(GNUPLOT_HISTORY)),def(GNUPLOT_HISTORY)
def(BACKWARDS_COMPATIBLE),!def(HAVE_LOCALE_H)
True,!def(NO_CROSSREFS)
!def(USE_SYSTEM_TIME),True
(!def(BACKWARDS_COMPATIBLE)&def(EAM_OBJECTS)),def(EAM_OBJECTS)
(def(BACKWARDS_COMPATIBLE)&!def(GNUPLOT_HISTORY)),True
True,(!def(VOLATILE_REFRESH)&def(EAM_OBJECTS))
def(VOLATILE_REFRESH),True
def(TEST_TERMDOC),True
!def(EXTENDED_COLOR_SPECS),def(EXTENDED_COLOR_SPECS)
True,def(USE_MOUSE)
!def(BACKWARDS_COMPATIBLE),!def(HAVE_LOCALE_H)
(!def(BACKWARDS_COMPATIBLE)&!def(GNUPLOT_HISTORY)),True
True,def(TEST_STRFTIME)
def(EXTENDED_COLOR_SPECS),!def(EXTENDED_COLOR_SPECS)
True,def(CHECK_HEAP_USE)
True,(!def(HAVE_BCOPY)&!def(HAVE_MEMCPY))
True,!def(BACKWARDS_COMPATIBLE)
def(BACKWARDS_COMPATIBLE),!def(BACKWARDS_COMPATIBLE)
(!def(NO_GIH)&!def(CHECK_HEAP_USE)),True
True,!def(EXTENDED_COLOR_SPECS)
True,!def(HAVE_LOCALE_H)
True,def(GNUPLOT_HISTORY)
(!def(HAVE_BCOPY)&!def(HAVE_MEMCPY)),!def(EAM_OBJECTS)
True,!def(USE_SYSTEM_TIME)
def(USE_STATS),!def(CHECK_HEAP_USE)
(def(BACKWARDS_COMPATIBLE)&def(GP_MACROS)),def(GP_MACROS)
(!def(NO_GIH)&!def(CHECK_HEAP_USE)),def(CHECK_HEAP_USE)
