def(USE_WMS_SVR),map,additon,Variable,19
def(USE_WMS_SVR),request,type,Variable,19
True,font,exclusion,Variable,19
def(notdef),p,additon,Variable,19
True,offsetx,exclusion,Variable,19
def(USE_GD_PNG),loadSymbol,additon,Function,19
True,src,additon,Variable,19
def(USE_GEOS),msFreeShape,additon,Function,19
True,final_j,exclusion,Variable,19
True,slayer,exclusion,Variable,19
True,msLayerClose,additon,Function,19
True,labelPnt,exclusion,Variable,19
True,msInitShape,additon,Function,19
True,msGEOSBuffer,additon,Function,19
True,msGEOSTouches,additon,Function,19
True,rect,exclusion,Variable,19
def(notdef),offsety,additon,Variable,19
True,msGEOSWithin,additon,Function,19
True,p,additon,Variable,19
True,msGEOSContains,additon,Function,19
def(notdef),color,additon,Variable,19
True,color,exclusion,Variable,19
True,dst,additon,Variable,19
True,draw_text,additon,Function,19
True,msGEOSDistance,additon,Function,19
def(USE_WMS_LYR),msDrawWMSLayer,parameter,Function,19
def(notdef),addImageCache,exclusion,Function,19
True,msGEOSEquals,additon,Function,19
def(notdef),imageOffsetPolyline,exclusion,Function,19
def(notdef),img,additon,Variable,19
True,msReturnTemplateQuery,exclusion,Function,19
def(notdef),offsetx,additon,Variable,19
True,msReturnURL,additon,Function,19
True,msResetErrorList,additon,Function,19
True,msGEOSOverlaps,additon,Function,19
True,msObj,exclusion,Variable,19
def(notdef),size,additon,Variable,19
True,msLayerWhichShapes,additon,Function,19
True,msGEOSIntersects,additon,Function,19
def(USE_OGR),msSLDApplySLDURL,exclusion,Function,19
True,msCreateLegendIcon,exclusion,Function,19
True,image,exclusion,Variable,19
def(USE_WMS_SVR),msWMSDispatch,parameter,Function,19
True,msSetError,additon,Function,19
True,msIsLayerQueryable,additon,Function,19
True,msLayerOpen,additon,Function,19
True,msGEOSDisjoint,additon,Function,19
True,qlayer,additon,Variable,19
True,string,exclusion,Variable,19
True,msLayerWhichItems,additon,Function,19
True,freeClass,exclusion,Function,19
True,returnCoordinate,exclusion,Function,19
True,size,exclusion,Variable,19
True,value,exclusion,Variable,19
True,layer,exclusion,Variable,19
True,msComputeBounds,additon,Function,19
True,msCopyShape,additon,Function,19
True,req,exclusion,Variable,19
True,addResult,additon,Function,19
def(notdef),imagePolyline,additon,Function,19
True,msGetLabelSize,additon,Function,19
True,msGEOSCrosses,additon,Function,19
True,j,exclusion,Variable,19
True,iLayer,exclusion,Variable,19
True,msQueryByPoint,parameter,Function,19
True,ctx,exclusion,Variable,19
True,initClass,exclusion,Function,19
True,ind,exclusion,Function,19
True,imagePolyline,exclusion,Function,19
True,mapserv,additon,Variable,19
True,fontset,exclusion,Variable,19
True,msCopyClass,exclusion,Function,19
True,msImageLoadGDCtx,additon,Function,19
def(USE_GD_PNG),msSaveImageGDCtx,additon,Function,19
True,processExtentTag,additon,Function,19
True,msyytext,exclusion,Variable,19
True,img,exclusion,Variable,19
True,label,exclusion,Variable,19
True,map,exclusion,Variable,19
def(USE_WCS_SVR),msOWSDispatch,additon,Function,19
True,offsety,exclusion,Variable,19
True,index,exclusion,Function,19
def(USE_OGR),msSLDApplySLD,exclusion,Function,19
True,style,exclusion,Variable,19
True,msMergeRect,additon,Function,19
True,msLegendCalcSize,additon,Function,19
def(notdef),style,additon,Variable,19
True,msLayerNextShape,additon,Function,19
